Item_identifier,'OUT010', 'OUT013', 'OUT017', 'OUT018', 'OUT019', 'OUT027', 'OUT035', 'OUT045', 'OUT046', 'OUT049'
'DRA12', 0.0, 0.0, 0.0, 0.0, 0.0, 0.41245175967468506, 0.0, 0.0, 0.29377412016265747, 0.29377412016265747
'DRA24', 0.0, 0.0, 0.0, 0.31270867550820364, 0.0, 0.0, 0.0, 0.34364566224589826, 0.34364566224589826, 0.0
'DRA59', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0
'DRB01', 0.0, 0.0, 0.2502776831304879, 0.2135468200640095, 0.035620130544526826, 0.0, 0.2502776831304879, 0.0, 0.2502776831304879, 0.0
'DRB13', 0.0, 0.0, 0.0, 0.2025997083798207, 0.0, 0.39220087486053795, 0.0, 0.2025997083798207, 0.2025997083798207, 0.0
'DRB24', 0.0, 0.22742295924257055, 0.0, 0.19168725824539654, 0.0, 0.3534668232694624, 0.0, 0.0, 0.22742295924257055, 0.0
'DRB25', 0.0, 0.0, 0.0, 0.0, 0.054623282204633104, 0.0, 0.0, 0.3200564752512715, 0.3200564752512715, 0.3052637672928239
'DRB48', 0.0, 0.0, 0.0, 0.42819471104453527, 0.0, 0.0, 0.0, 0.5718052889554647, 0.0, 0.0
'DRC01', 0.05775066589070355, 0.0, 0.0, 0.0, 0.0, 0.0, 0.44484055502951825, 0.0, 0.0, 0.4974087790797782
'DRC12', 0.0, 0.20587430573367763, 0.0, 0.20587430573367763, 0.0, 0.3791394945607632, 0.0, 0.20911189397188154, 0.0, 0.0
'DRC13', 0.0, 0.2249727920151951, 0.0, 0.0, 0.0, 0.3250816239544147, 0.0, 0.0, 0.2249727920151951, 0.2249727920151951
'DRC24', 0.0, 0.1495186872123808, 0.0, 0.0, 0.019613560613680258, 0.23279300332441588, 0.1495186872123808, 0.1495186872123808, 0.1495186872123808, 0.1495186872123808
'DRC25', 0.0, 0.0, 0.3524159601231822, 0.0, 0.0, 0.0, 0.3524159601231822, 0.0, 0.0, 0.29516807975363557
'DRC27', 0.0, 0.25744366919056394, 0.0, 0.0, 0.04131779045332181, 0.4437948711655503, 0.0, 0.0, 0.25744366919056394, 0.0
'DRC36', 0.041965814887161224, 0.0, 0.0, 0.32115226295536653, 0.041965814887161224, 0.0, 0.0, 0.32115226295536653, 0.0, 0.2737638443149444
'DRC49', 0.0, 0.19461842707838004, 0.19461842707838004, 0.1900588933333991, 0.029527734412263584, 0.0, 0.0, 0.19461842707838004, 0.0, 0.1965580910191972
'DRD01', 0.0, 0.2431854915598951, 0.0, 0.0, 0.050648948397054486, 0.42073395429140076, 0.0, 0.0, 0.2854316057516498, 0.0
'DRD12', 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'DRD13', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
'DRD15', 0.0, 0.0, 0.2749336036137721, 0.25112146086506093, 0.0, 0.47394493552116695, 0.0, 0.0, 0.0, 0.0
'DRD24', 0.0, 0.0, 0.0, 0.0, 0.06370512165616588, 0.0, 0.5226191195364517, 0.4136757588073824, 0.0, 0.0
'DRD25', 0.0, 0.5381987360692418, 0.4618012639307581, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'DRD27', 0.0, 0.0, 0.0, 0.1982082829630215, 0.0, 0.36356761845699187, 0.21108179366241733, 0.0, 0.22714230491756934, 0.0
'DRD37', 0.0, 0.0, 0.0, 0.0, 0.0, 0.6332530901988276, 0.3667469098011723, 0.0, 0.0, 0.0
'DRD49', 0.0, 0.2091220750462747, 0.0, 0.20148689778437096, 0.0, 0.38026895212307954, 0.0, 0.0, 0.0, 0.2091220750462747
'DRD60', 0.0, 0.0, 0.27973543571686843, 0.0, 0.0, 0.44052912856626314, 0.0, 0.27973543571686843, 0.0, 0.0
'DRE01', 0.0, 0.12456563950507608, 0.13478002505233352, 0.12001767039108752, 0.0, 0.22651097544175972, 0.13478002505233352, 0.13478002505233352, 0.0, 0.12456563950507608
'DRE03', 0.0, 0.3667469098011723, 0.0, 0.0, 0.0, 0.6332530901988276, 0.0, 0.0, 0.0, 0.0
