Item_identifier,'OUT010', 'OUT013', 'OUT017', 'OUT018', 'OUT019', 'OUT027', 'OUT035', 'OUT045', 'OUT046', 'OUT049'
'DRA12', 0.0, 0.0, 0.0, 0.0, 0.0, 0.4430449959907834, 0.0, 0.0, 0.2736694816044468, 0.28328552240476984
'DRA24', 0.0, 0.0, 0.0, 0.3124670083005798, 0.0, 0.0, 0.0, 0.33870893478652103, 0.34882405691289925, 0.0
'DRA59', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5169199341549123, 0.4830800658450876, 0.0, 0.0
'DRB01', 0.0, 0.0, 0.23642916224452004, 0.20923742740079965, 0.08455216647529655, 0.0, 0.24308002848942567, 0.0, 0.2267012153899581, 0.0
'DRB13', 0.0, 0.0, 0.0, 0.20864300106259015, 0.0, 0.3384042346173337, 0.0, 0.225205896702143, 0.22774686761793322, 0.0
'DRB24', 0.0, 0.22811868364461776, 0.0, 0.19770111495833123, 0.0, 0.35163938816864354, 0.0, 0.0, 0.22254081322840755, 0.0
'DRB25', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3208497346143435, 0.33090645672887375, 0.3482438086567827
'DRB48', 0.0, 0.0, 0.0, 0.40971001806788315, 0.0, 0.0, 0.0, 0.5902899819321169, 0.0, 0.0
'DRC01', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5196212437376738, 0.0, 0.0, 0.4803787562623261
'DRC12', 0.0, 0.22899676203418576, 0.0, 0.20889648181796006, 0.0, 0.3381698104434531, 0.0, 0.22393694570440098, 0.0, 0.0
'DRC13', 0.0, 0.2149401685818386, 0.0, 0.0, 0.0, 0.35812203203625526, 0.0, 0.0, 0.2055036096352884, 0.2214341897466177
'DRC24', 0.0, 0.1467619098522669, 0.0, 0.0, 0.0326621635743785, 0.2304568189878936, 0.15271277327629965, 0.14326491342011446, 0.14463246118725578, 0.149508959701791
'DRC25', 0.0, 0.0, 0.32985761039294104, 0.0, 0.0, 0.0, 0.33900379272664044, 0.0, 0.0, 0.3311385968804186
'DRC27', 0.0, 0.2603400179802083, 0.0, 0.0, 0.13058374312106527, 0.3540576502082655, 0.0, 0.0, 0.255018588690461, 0.0
'DRC36', 0.09014290304631453, 0.0, 0.0, 0.2525855880774533, 0.09307682622715117, 0.0, 0.0, 0.2737072760190614, 0.0, 0.29048740663001965
'DRC49', 0.0, 0.19936355794708654, 0.20406535291724112, 0.17172417730688072, 0.034041466923999536, 0.0, 0.0, 0.19016597638198862, 0.0, 0.20063946852280357
'DRD01', 0.0, 0.23773322145040598, 0.0, 0.0, 0.0, 0.5392060488719554, 0.0, 0.0, 0.22306072967763857, 0.0
'DRD12', '0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0', ' 0\n'
'DRD13', 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
'DRD15', 0.0, 0.0, 0.30677125206685846, 0.2762294212617435, 0.0, 0.4169993266713981, 0.0, 0.0, 0.0, 0.0
'DRD24', 0.0, 0.0, 0.0, 0.0, 0.08348900363933971, 0.0, 0.4814642531964857, 0.4350467431641745, 0.0, 0.0
'DRD25', 0.0, 0.4924411458344141, 0.507558854165586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'DRD27', 0.0, 0.0, 0.0, 0.17530073210216865, 0.0, 0.3904098460599856, 0.22552361943800123, 0.0, 0.2087658023998445, 0.0
'DRD37', 0.0, 0.0, 0.0, 0.0, 0.0, 0.6904901642110204, 0.3095098357889796, 0.0, 0.0, 0.0
'DRD49', 0.0, 0.23102721120740674, 0.0, 0.21346036490808146, 0.0, 0.3203564558590078, 0.0, 0.0, 0.0, 0.23515596802550412
'DRD60', 0.0, 0.0, 0.29348856273053087, 0.0, 0.0, 0.42838110787110173, 0.0, 0.27813032939836746, 0.0, 0.0
'DRE01', 0.0, 0.13626478105981818, 0.13929461390247325, 0.12494072501052506, 0.0, 0.1869876058641375, 0.14120719906472087, 0.13282016411405048, 0.0, 0.1384849109842746
'DRE03', 0.0, 0.2821687998541812, 0.0, 0.0, 0.0, 0.7178312001458188, 0.0, 0.0, 0.0, 0.0
